make,fuel-type,aspiration,body-style,wheel-base,length,width,height
mitsubishi,gas,std,hatchback,93.7,157.3,64.4,50.8
mitsubishi,gas,turbo,hatchback,93,157.3,63.8,50.8
mitsubishi,gas,turbo,hatchback,96.3,173,65.4,49.4
mitsubishi,gas,std,hatchback,96.3,173,65.4,49.4
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,turbo,hatchback,95.9,173.2,66.3,50.2
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,turbo,sedan,96.3,172.4,65.4,51.6
mitsubishi,gas,std,sedan,96.3,172.4,65.4,51.6
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,diesel,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,wagon,94.5,170.2,63.8,53.5
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,hatchback,94.5,165.6,63.8,53.3
nissan,gas,std,sedan,94.5,165.3,63.8,54.5
nissan,gas,std,wagon,94.5,170.2,63.8,53.5
nissan,gas,std,hardtop,95.1,162.4,63.8,53.3
nissan,gas,std,hatchback,97.2,173.4,65.2,54.7
nissan,gas,std,sedan,97.2,173.4,65.2,54.7
nissan,gas,std,sedan,100.4,181.7,66.5,55.1
nissan,gas,std,wagon,100.4,184.6,66.5,56.1
nissan,gas,std,sedan,100.4,184.6,66.5,55.1
nissan,gas,std,hatchback,91.3,170.7,67.9,49.7
nissan,gas,turbo,hatchback,91.3,170.7,67.9,49.7
nissan,gas,std,hatchback,99.2,178.5,67.9,49.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,std,wagon,114.2,198.9,68.4,58.7
peugot,diesel,turbo,wagon,114.2,198.9,68.4,58.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,std,wagon,114.2,198.9,68.4,
peugot,diesel,turbo,wagon,114.2,198.9,68.4,58.7
peugot,gas,std,sedan,107.9,186.7,68.4,56.7
peugot,diesel,turbo,sedan,107.9,186.7,68.4,56.7
peugot,gas,turbo,sedan,108,186.7,68.3,56
plymouth,gas,std,hatchback,93.7,157.3,63.8,50.8
plymouth,gas,turbo,hatchback,93.7,157.3,63.8,50.8
plymouth,gas,std,hatchback,93.7,157.3,63.8,50.6
plymouth,gas,std,sedan,93.7,167.3,63.8,50.8
plymouth,gas,std,sedan,93.7,167.3,63.8,50.8
plymouth,gas,std,wagon,103.3,174.6,64.6,59.8
plymouth,gas,turbo,hatchback,95.9,173.2,66.3,50.2
porsche,gas,std,hatchback,94.5,168.9,68.3,50.2
porsche,gas,std,hardtop,89.5,168.9,65,51.6
porsche,gas,std,hardtop,89.5,168.9,65,51.6
,gas,std,convertible,89.5,168.9,65,51.6
porsche,gas,std,hatchback,98.4,175.7,72.3,50.5
renault,gas,std,wagon,96.1,181.5,66.5,55.2
renault,gas,std,hatchback,96.1,176.8,66.6,50.5
saab,gas,std,hatchback,99.1,186.6,66.5,56.1
saab,gas,std,sedan,99.1,186.6,66.5,56.1
saab,gas,std,hatchback,99.1,186.6,66.5,56.1
saab,gas,std,sedan,99.1,186.6,66.5,56.1
saab,gas,turbo,hatchback,99.1,186.6,66.5,56.1
saab,gas,turbo,sedan,99.1,186.6,66.5,56.1
subaru,gas,std,hatchback,93.7,156.9,63.4,53.7
subaru,gas,std,hatchback,93.7,157.9,63.6,53.7
subaru,gas,std,hatchback,93.3,157.3,63.8,55.7
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97.2,172,65.4,52.5
subaru,gas,std,sedan,97,172,65.4,54.3
subaru,gas,turbo,sedan,97,172,65.4,54.3
subaru,gas,std,wagon,97,173.5,65.4,53
subaru,gas,std,wagon,97,173.5,65.4,53
subaru,gas,std,wagon,96.9,173.6,65.4,54.9
subaru,gas,turbo,wagon,96.9,173.6,65.4,54.9
toyota,gas,std,hatchback,95.7,158.7,63.6,54.5
toyota,gas,std,hatchback,95.7,158.7,63.6,54.5
toyota,gas,,hatchback,95.7,158.7,63.6,54.5
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,wagon,95.7,169.7,63.6,59.1
toyota,gas,std,sedan,95.7,166.3,64.4,53
toyota,gas,std,hatchback,95.7,166.3,64.4,52.8
toyota,diesel,std,sedan,95.7,166.3,64.4,53
toyota,diesel,std,hatchback,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,95.7,166.3,64.4,53
toyota,gas,std,hatchback,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,95.7,166.3,64.4,52.8
toyota,gas,std,sedan,94.5,168.7,64,52.6
toyota,gas,std,hatchback,94.5,168.7,64,52.6
toyota,gas,std,sedan,94.5,168.7,64,52.6
toyota,gas,std,hatchback,94.5,168.7,64,52.6
toyota,gas,std,hardtop,98.4,176.2,65.6,52
toyota,gas,,hardtop,98.4,176.2,65.6,52
toyota,gas,std,hatchback,98.4,176.2,65.6,52
toyota,gas,std,hardtop,98.4,176.2,65.6,52
toyota,gas,std,hatchback,98.4,176.2,65.6,52
toyota,gas,std,convertible,98.4,176.2,65.6,53
toyota,gas,std,sedan,102.4,175.6,66.5,54.9
toyota,diesel,turbo,sedan,102.4,175.6,66.5,54.9
toyota,gas,std,hatchback,102.4,175.6,66.5,53.9
toyota,gas,std,sedan,102.4,175.6,66.5,54.9
toyota,gas,std,hatchback,102.4,175.6,66.5,53.9
,gas,std,hatchback,102.9,183.5,67.7,52
toyota,gas,std,hatchback,102.9,183.5,67.7,52
toyota,gas,std,sedan,104.5,187.8,66.5,54.1
toyota,gas,std,wagon,104.5,187.8,66.5,54.1
volkswagen,diesel,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,diesel,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,diesel,turbo,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,sedan,97.3,171.7,65.5,55.7
volkswagen,gas,std,convertible,94.5,159.3,64.2,55.6
volkswagen,gas,std,hatchback,94.5,165.7,64,51.4
volkswagen,gas,std,sedan,100.4,180.2,66.9,55.1
volkswagen,diesel,turbo,sedan,100.4,180.2,66.9,55.1
volkswagen,gas,std,wagon,100.4,183.1,66.9,55.1
volvo,gas,std,sedan,104.3,188.8,67.2,56.2
volvo,gas,std,wagon,104.3,188.8,67.2,57.5
volvo,gas,std,sedan,104.3,188.8,67.2,56.2
volvo,gas,std,wagon,104.3,188.8,67.2,57.5
volvo,gas,turbo,sedan,104.3,188.8,67.2,56.2
volvo,gas,turbo,wagon,104.3,188.8,67.2,57.5
volvo,gas,std,sedan,109.1,188.8,68.9,55.5
volvo,gas,turbo,sedan,109.1,188.8,68.8,55.5
volvo,gas,std,sedan,109.1,188.8,68.9,55.5
,diesel,turbo,sedan,109.1,188.8,68.9,55.5
volvo,gas,turbo,sedan,109.1,188.8,68.9,55.5
